,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,Aalborg Universitetshospital,,Aalborg,Aalborg,9000,,,,,Yes,,57.0360687,9.9091295
1,10001,Aalborg Universitetshospital Nord,,Aalborg,Aalborg,9000,,,,,,,57.0490521,9.9146357
2,10002,Aalborg Universitetshospital Thisted,,Thisted,Thisted,7700,,,,,,,56.9566536,8.6952335
3,10003,"Aalborg Universitetshospital, Farsø",,Farsø,Vesthimmerlands,9640,,,,,Yes,,56.7772698,9.3350686
4,10004,"Aalborg Universitetshospital, Hobro",,Hobro,Mariagerfjord,9500,,+4597652000,,,Yes,,56.633789,9.7963359
5,10005,"Aalborg Universitetshospital, Psykiatrien",,Aalborg,Aalborg,9000,,,,,No,,57.0255492,9.9775413
6,10006,Aarhus Universitetshospital,,Aarhus,Aarhus,8000,,,,,Yes,,56.1859328,10.1703464
7,10007,Amager Hospital - Hans Bogbinders Allé,,,Aarhus,,,,,,,,55.6541722,12.6071067
8,10008,Amager Hospital - Italiensvej,,,Aarhus,,,,,,No,,55.6542578,12.6189881
9,10009,Amtssygehuset Fjorden,,,Aarhus,,,,,,,,55.6513281,12.069753
10,10010,Arresødal Hospice,,,Aarhus,,,,,,,,55.9768259,12.0311619
11,10011,Bispebjerg Hospital,,,Aarhus,,,,,,Yes,,55.7153074,12.5369548
12,10012,Bornholms Hospital,,,Bornholm,3700,,,,,Yes,,55.0896987,14.7077031
13,10013,Diakonisse-stiftelsen,,,Bornholm,,,,,,,,55.6792541,12.5211849
14,10014,Frederiksberg Hospital,,,Bornholm,,,,,,Yes,,55.6884734,12.5243674
15,10015,Gentofte Hospital,,,Bornholm,,,,,,Yes,,55.7379509,12.5444273
16,10016,Grenaa Sundhedshus,,Grenaa,Norddjurs,8500,,,,,,,56.4175999,10.8652361
17,10017,Herlev Hospital,,,Norddjurs,,,,,,Yes,,55.7339037,12.4396485
18,10018,Herning Centralsygehus,,Herning,Herning,7400,,,,,Yes,,56.1412346,8.9723046
19,10019,Hospice Limfjord,,Skive,Skive,7800,,+45 96148700,,,,,56.5731485,9.0279286
20,10020,Hospice Sjælland,,,Skive,,,,,,,,55.6608189,12.1314631
21,10021,Hospice Søndergård,,,Skive,,,,,,No,,55.7438115,12.3223073
22,10022,Hospice Sønderjylland,,Haderslev,Haderslev,6100,,,,,,,55.2460761,9.4450703
23,10023,Hvidovre Hospital,,,Haderslev,,,,,,,,55.6467807,12.4625794
24,10024,Mølholm,,Aarhus,Aarhus,8270,,,,,,,56.118012,10.1906436
25,10025,Nordsjællands Hospital – Frederikssund,,,Aarhus,,,,,,Yes,,55.8469813,12.0827222
26,10026,Nordsjællands Hospital – Hillerød,,,Aarhus,,,,,,Yes,,55.9311993,12.3230106
27,10027,Næstved Sygehus,,,Aarhus,,,,,,,,55.2398539,11.7602795
28,10028,OUH Svendborg Sygehus,,,Aarhus,,,,,,,,55.0562255,10.6085358
29,10029,Odense Universitetshospital,,,Aarhus,,,,,,Yes,,55.3891189,10.3622345
30,10030,Patienthotellet,,Viborg,Viborg,8800,,,,,,,56.4448854,9.4058323
31,10031,Privathospitalet Mølholm,,Vejle,Vejle,7100,,,,,,,55.6988877,9.5370458
32,10032,Psykiatri Hospitalet Nykøbing Sjælland,,,Vejle,,,,,,,,55.9087252,11.6592871
33,10033,"Psykiatricenter Vest, Esbjerg",,Gjesing,Esbjerg,6715,,,,,,,55.4941919,8.4406232
34,10034,Psykiatrisk Center Ballerup,,,Esbjerg,,,,,,,,55.7234806,12.3564078
35,10035,Psykiatrisk Center Glostrup (afdeling Hvidovre),,,Esbjerg,,,,,,Yes,,55.6504542,12.4441544
36,10036,Psykiatrisk Center Nordsjælland - Afdeling Hillerød,,,Esbjerg,,,,,,,,55.9310123,12.3243049
37,10037,Psykiatrisk Center Sct. Hans,,,Esbjerg,,,,,,,,55.6523149,12.0660418
38,10038,Regionshospital Nordjylland,,Hjørring,Hjørring,9800,,,,,,,57.4530766,9.9958883
39,10039,Regionshospitalet Holstebro,,Holstebro,Holstebro,7500,,,,,Yes,,56.3625856,8.6284558
40,10040,Regionshospitalet Horsens,,Horsens,Horsens,8700,,,,,Yes,,55.864291,9.8713133
41,10041,Regionshospitalet Randers,,Randers NØ,Randers,8930,,,,,Yes,,56.4694205,10.0462763
42,10042,Regionshospitalet Silkeborg,,Silkeborg,Silkeborg,8600,,,,,Yes,,56.1710665,9.5580562
43,10043,Rehabiliteringscentret Hedebo,,,Silkeborg,,,,,,,,55.5938427,12.2485936
44,10044,Rigshospitalet,,,Silkeborg,,,,,,Yes,,55.6995964,12.5646201
45,10045,Ringsted Sygehus,,,Silkeborg,,,,,,,,55.4504763,11.789647
46,10046,Roskilde Sygehus,,,Silkeborg,,,,,,Yes,,55.6358365,12.09477
47,10047,Samsø Sundheds- og Akuthus,,,Samsø,8305,,,,,Yes,,55.8307263,10.5903912
48,10048,Sclerosehospitalet Haslev,,,Samsø,,,,,,,,55.3372384,11.9448063
49,10049,Sct. Maria Hospice Center,,Bredballe,Vejle,7120,,,,,,,55.7257344,9.595887
50,10050,"Sengeafsnit N7, Frederikshavn",,Frederikshavn,Frederikshavn,9900,,,,,,,57.4454501,10.5343081
51,10051,Skanderborg Sundhedscenter,,Skanderborg,Skanderborg,8660,,,,,,,56.0339807,9.9282981
52,10052,Skørping Privat Hospital,,,Skanderborg,,,,,,,,56.8360904,9.8751178
53,10053,Steno Diabetes Center Copenhagen,,,Skanderborg,,,,,,,,55.7554454,12.5236738
54,10054,Støttecenter Saxenhøj,,,Skanderborg,,,,,,,,54.8001079,11.6213601
55,10055,Støttecenter Saxenhøj,,,Skanderborg,,,,,,,,54.8014586,11.6263777
56,10056,Sundhedsområdet Klostergården,,Kolding,Kolding,6000,,,,,,,55.500752,9.4821491
57,10057,"Sydvestjydsk Sygehus, Esbjerg",,Esbjerg,Esbjerg,6700,,,,,Yes,,55.4734797,8.455534
58,10058,Århus Universitetshospital Risskov,,Aarhus,Aarhus,8240,,,,,,,56.1839778,10.2359368
59,10059,Århus Universitetshospital Århus Sygehus,,Aarhus C,Aarhus,8000,,,,,,,56.1416224,10.1904339
60,10060,Ærø Sygehus,,,Ærø,5970,,,,,Yes,,54.8924021,10.4062921
61,10061,Aarup Lægerne,,,Ærø,,,+45 64 43 10 24,,,,,55.374079,10.052747
62,10062,Behandlerhuset Dokken,,,Thisted,7700,,,,,,,56.9519464,8.694626
63,10063,FamilieLægerne Espergærde,,,Thisted,,,+45 4848 0260,,,,,55.9948559,12.5066659
64,10064,Gigtsanatoriet,,,Thisted,,,,,,,,55.2604126,11.282825
65,10065,Glumsø lægehus,,,Thisted,,,,,,,,55.3544847,11.6907088
66,10066,Grenaa Sundhedshus,,Grenaa,Norddjurs,8500,,,,,,,56.417988,10.8638854
67,10067,Karise Lægerne,,,Norddjurs,,,,,,,,55.3055826,12.2078561
68,10068,Læge Philipp Harbig,,Aarhus,Aarhus,8200,,,,,,,56.1808798,10.202239
69,10069,Læge Preben Dissing,,Grenaa,Norddjurs,8500,,,,,,,56.4156866,10.8746022
70,10070,Lægehus,,,Norddjurs,,,,,,,,54.9992243,12.0852978
71,10071,Lægehus,,Bredsten,Vejle,7182,,,,,,,55.7020271,9.3740525
72,10072,Lægehus Midtbyen,,Kolding,Kolding,6000,,,,,,,55.492708,9.482462
73,10073,Lægehuset,,,Kolding,,,+45 59 25 66 00,,,,,55.6587625,11.3971345
