,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,A. ö. Bezirkskrankenhaus Kufstein,,Kufstein,Tirol,6330,,,,,,,47.5707931,12.1519599
1,10001,A.ö. Tauernklinikum Mittersill,,Mittersill,Salzburg,5730,,,,,Yes,,47.2807961,12.4843668
2,10002,Allgemein öffentliches Krankenhaus Oberpullendorf,Spitalgasse 32,Oberpullendorf,Burgenland,7350,,,,,Yes,,47.507545,16.5099727
3,10003,Ambulatorium Kurhaus,,Bad Schallerbach,Oberösterreich,4701,,,,,,,48.2317084,13.9169533
4,10004,Ambulatorium Süd,Wienerbergstraße 13,Wien,Wien,1100,,,,,,,48.1694662,16.3451552
5,10005,Bau 0,,Wels,Oberösterreich,4600,,,,,,,48.1741098,14.0246502
6,10006,Bau 6 - Eltern-Kind-Zentrum,Eferdingerstraße nan,Wels,Oberösterreich,4600,,,,,,,48.1731684,14.025764
7,10007,Bezirkskrankenhaus Lienz,Emanuel von Hibler-Straße 5,Lienz,Tirol,9900,,,,,,,46.835543,12.7637099
8,10008,Bezirkskrankenhaus Reutte,,Ehenbichl,Tirol,6600,,,,,,,47.4729688,10.7142317
9,10009,Bezirkskrankenhaus Schwaz,Dr.-Körner-Straße 2,Schwaz,Tirol,6130,,,,,Yes,,47.3440612,11.7048539
10,10010,Bezirkskrankenhaus St. Johann in Tirol,Bahnhofstraße 14,Sankt Johann in Tirol,Tirol,6380,,+43 5352 606-0,,,,,47.5213384,12.429782
11,10011,Christian Doppler Klinik,Ignaz-Harrer-Straße 79,Salzburg,Salzburg,5020,,,,,,,47.813022,13.0212794
12,10012,Diakonissen-Krankenhaus,,Salzburg,Salzburg,5026,,,,,,,47.7876671,13.0761564
13,10013,Diakonissen-Krankenhaus Linz,,Linz,Oberösterreich,4020,,,,,No,,48.3038063,14.3011085
14,10014,Donauspital / SMZ-Ost,Langobardenstraße 122,Wien,Wien,1220,,,,,Yes,,48.2195455,16.4600433
15,10015,Dr. Martin Pasiut,Blumengasse 31,Grafenstein,Kärnten,9131,,,,,,,46.6132386,14.4659965
16,10016,Evangelisches Krankenhaus Wien,Hans-Sachs-Gasse 10-12,Wien,Wien,1180,,+43 1 40422 0,,,No,,48.2242433,16.3456746
17,10017,Evangelisches Krankenhaus Wien,,Wien,Wien,1180,,,,,No,,48.224051,16.3462486
18,10018,Gesundheitsresort Raxblick,Oberland 2-4,Reichenau an der Rax,Niederösterreich,2651,,,,,,,47.6710148,15.7861868
19,10019,Gesundheitszentrum Linzerheim,Grieskirchner Straße 6,Bad Schallerbach,Oberösterreich,4701,,,,,,,48.2315094,13.9180365
20,10020,Hanusch-Krankenhaus,Heinrich-Collin-Straße 30,Wien,Wien,1140,,,,,,,48.1987788,16.2902896
21,10021,Heeresspital,Brünner Straße 238,Wien,Wien,1210,,,,,Yes,,48.2930133,16.4188238
22,10022,HerzReha Bad Ischl,Gartenstraße 9,Bad Ischl,Oberösterreich,4820,,,,,,,47.7097904,13.6134532
23,10023,Kepler Universitätsklinikum - Med Campus III,,Linz,Oberösterreich,4020,,,,,,,48.3021918,14.3043075
24,10024,Kepler Universitätsklinikum - Med Campus IV,,Linz,Oberösterreich,4020,,,,,,,48.3019513,14.3071566
25,10025,Kepler Universitätsklinikum - Neuromed Campus,Wagner-Jauregg-Weg 15,Linz,Oberösterreich,4020,,,,,,,48.2797019,14.2956139
26,10026,Klinik Diakonissen Schladming,Salzburger Straße 777,Schladming,Steiermark,8970,,+43 3687 2020 0,,,Yes,,47.3915863,13.6775092
27,10027,Klinik Floridsdorf,Brünner Straße 68,Wien,Wien,1210,,+43 1 27700 - 0,,,Yes,,48.2694155,16.4048833
28,10028,Klinikum Grieskirchen,Georg-Wagenleithner-Straße 27,Grieskirchen,Oberösterreich,4710,,+43-7248-601-0,,,,,48.2388023,13.8208565
29,10029,Klinikum Klagenfurt am Wörthersee,,Klagenfurt am Wörthersee,Kärnten,9020,,,,,,,46.636715,14.3004593
30,10030,Klinikum Wels,Grieskirchner Straße 42,Wels,Oberösterreich,4600,,+43 7242 415 0,,,,,48.1743123,14.0227935
31,10031,Krankenanstalt Rudolfstiftung,Juchgasse 25,Wien,Wien,1030,,+43 (1) 711 65-0,,,Yes,,48.1950723,16.3891181
32,10032,Krankenhaus Abtenau,Markt 25,Abtenau,Salzburg,5441,,,,,,,47.565473,13.3472536
33,10033,Krankenhaus Barmherzige Brüder Salzburg,,Salzburg,Salzburg,5020,,,,,,,47.7976468,13.0506956
34,10034,Krankenhaus Göttlicher Heiland,Dornbacher Straße 20-26,Wien,Wien,1170,,,,,,,48.2284567,16.3055002
35,10035,Krankenhaus Hallein,Bürgermeisterstraße 34,Hallein,Salzburg,5400,,+43 6245 7990,,,Yes,,47.6855242,13.1120345
