,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,A.Z. Jan Portaels,Gendarmeriestraat 65,Vilvoorde,Vlaanderen,1800,,,,,Yes,,50.9275154,4.4190125
1,10001,A.Z. Jan Portaels,Vaartstraat 42,Vilvoorde,Vlaanderen,1800,,,,,Yes,,50.9274072,4.4190545
2,10002,A.Z. Jan Portaels,Gendarmeriestraat 65,Vilvoorde,Vlaanderen,1800,,,,,Yes,,50.9274896,4.418969
3,10003,A.Z. Sint-Lucas campus Sint-Lucas,Groenebriel 1,Gent,Vlaanderen,9000,,,,,Yes,,51.064075,3.7198579
4,10004,A.Z. Sint-Lucas campus Volkskliniek,Tichelrei 1,Gent,Vlaanderen,9000,,,,,,,51.0606214,3.7212564
5,10005,ASZ Campus Geraardsbergen,,Geraardsbergen,Vlaanderen,9500,,,,,,,50.7705536,3.8771583
6,10006,ASZ Wetteren,,Wetteren,Vlaanderen,9230,,,,,Yes,,51.011728,3.8977137
7,10007,AZ Alma- campus Ringlaan,Ringlaan 15,Eeklo,Vlaanderen,9900,,,,,,,51.1916682,3.5358218
8,10008,AZ Damiaan,Gouwelozestraat 100,Oostende,Vlaanderen,8400,,,,,,,51.2178487,2.9352914
9,10009,AZ Delta Menen,,Menen,Vlaanderen,8930,,,,,Yes,,50.7923928,3.1226568
10,10010,AZ Delta campus Brugsesteenweg,Brugsesteenweg 90,Roeselare,Vlaanderen,8800,,+32 51 23 61 11,,,,,50.9547734,3.1219107
11,10011,AZ Delta campus Wilgenstraat,Wilgenstraat 2,Roeselare,Vlaanderen,8800,,,,,Yes,,50.9389763,3.1216664
12,10012,AZ Diest Campus Hasseltsestraat,,Diest,Vlaanderen,3290,,,,,,,50.9804781,5.0518246
13,10013,AZ Diest Campus Statiestraat,,Diest,Vlaanderen,3290,,+32 13 35 40 11,,,,,50.986332,5.0516469
14,10014,AZ Glorieux,,Ronse,Vlaanderen,9600,,,,,,,50.7548259,3.6051066
