,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,13 - LFI-Gebäude,Kerpener Straße 62,Köln,Köln,50937,,,,,,,50.9244879,6.9166819
1,20001,ACURA Kliniken Albstadt GmbH,Robert-Koch-Straße 26,Albstadt,Zollernalbkreis,72461,,,,,,,48.2374484,9.0335627
2,20002,AGAPLESION Bethesda Klinik Ulm,,Ulm,Ulm,89073,,,,,,,48.4019156,10.0072453
3,20003,AHG Klinik,Ferndorfstraße 14,,Siegen-wittgenstein,,,,,,,,50.9986983,8.1151191
4,20004,AHG Klinik Hardberg,,,Hessen,,,,,,No,,49.8314615,9.0152812
5,20005,AHG Klinik Römhild,,Römhild,Hildburghausen,98630,,,,,,,50.3897749,10.5642372
6,20006,AHG Klinik und Moorbad,Gesundbrunnenstraße 33,Bad Freienwalde (Oder),Brandenburg,16259,,,,,No,,52.7737526,14.0211734
7,20007,AMEOS Innere Kliniken,Am Gradierwerk 3,Schönebeck (Elbe),Salzlandkreis,39218,,,,,,,51.9964337,11.7158944
8,20008,AMEOS Klinikum,Tiroler Ring 621-623,Kiel,Kiel,24146,,+49 431 780530,,,No,,54.2966377,10.1850872
9,20009,AMEOS Klinikum,,Hildesheim,Niedersachsen,31134,,,,,,,52.1424746,9.9802635
10,20010,AMEOS Klinikum Alfeld,Landrat-Beushausen-Straße 26,Alfeld (Leine),Niedersachsen,31061,,,,,Yes,,51.9941487,9.8336998
11,20011,AMEOS Klinikum Heiligenhafen,Friedrich-Ebert-Straße 100,Heiligenhafen,Ostholstein,23774,,,,,,,54.3729246,10.963551
12,20012,AMEOS Klinikum Inntal,Jakob-Weindler-Straße 1,Simbach am Inn,Bayern,84359,,,,,,,48.262761,13.0146051
13,20013,AMEOS Klinikum Kaiserstuhl,Brunngasse 1,Vogtsburg im Kaiserstuhl,Breisgau-hochschwarzwald,79235,,,,,No,,48.1049675,7.6309155
14,20014,AMEOS Klinikum Mitte Bremerhaven,Wiener Straße 1,Bremerhaven,Bremen,27568,,+49 471 4805 0,,,,,53.5521666,8.576482
15,20015,AMEOS Klinikum Neustadt,Wiesenhof nan,Neustadt in Holstein,Ostholstein,23730,,+49 4561 6110,,,,,54.1075131,10.7927989
16,20016,AMEOS Klinikum Preetz,Am Krankenhaus 5a,Preetz,Plön,24211,,,,,,,54.2389886,10.2761173
17,20017,AMEOS Klinikum Schönebeck,,Schönebeck (Elbe),Salzlandkreis,39218,,,,,,,52.0130586,11.7400112
18,20018,AMEOS Klinikum Seepark Geestland,Langener Straße 66,Geestland,Niedersachsen,27607,,+49 4743 893 0,,,,,53.6166664,8.6279875
19,20019,AMEOS Klinikum St. Salvator Halberstadt,Gleimstraße 5,Halberstadt,Harz,38820,,,,,Yes,,51.9009511,11.0533717
20,20020,AMEOS Klinikum ehem. Sana-Klinkum,Kiefholzstraße 27,Haldensleben,Börde,39340,,,,,,,52.2861988,11.3784845
21,20021,ASB Rettungshundestaffel Hattingen,,Hattingen,Ennepe-ruhr-kreis,45527,,,,,No,,51.4134547,7.2003187
22,20022,ASKLEPIOS Klinik Schaufling,Hausstein 2,Schaufling,Bayern,94571,,+49 9904 770,,,,,48.8623668,13.0649632
23,20023,ATOS Klinik,Bismarckstraße 9-15,Heidelberg,Heidelberg,69115,,+49 6221 983-0,,,,,49.4101697,8.6917653
24,20024,ATOS-Klinik,Effnerstraße 38,München,Bayern,81925,,,,,No,,48.1545022,11.6165521
25,20025,AWO Krankenhaus Calbe,,Calbe (Saale),Salzlandkreis,39240,,,,,,,51.9034601,11.7672402
26,20026,AWO Psychiatriezentrum,Vor dem Kaiserdom 10,Königslutter am Elm,Niedersachsen,38154,,,,,,,52.2468005,10.8108312
27,20027,Aatalklinik,,Bad Wünnenberg,Paderborn,33181,,,,,No,,51.5177884,8.7005009
28,20028,Abtseeklinik,,Laufen,Bayern,83410,,,,,,,47.9145093,12.907351
29,20029,Achenbach Krankenhaus,Köpenicker Straße 29,Königs Wusterhausen,Brandenburg,15711,,,,,,,52.3020087,13.6266279
30,20030,Achertalklinik für Psychiatrie und Psychotherapie,Markgraf-Bernhard-Straße 2,Ottenhöfen im Schwarzwald,Ortenaukreis,77883,,,,,,,48.565932,8.1551233
31,20031,Agaplesion Allgemeines Krankenhaus Hagen,,Hagen,Hagen,58095,,+49 2331 201 0,,,,,51.3547053,7.4654817
32,20032,Agaplesion Diakonieklinikum Rotenburg,Elise-Averdieck-Straße 17,Rotenburg (Wümme),Niedersachsen,27356,,,,,Yes,,53.1057597,9.4115161
33,20033,Agaplesion Evangelisches Klinikum Schaumburg gGmbH,Zum Schaumburger Klinikum 1,Obernkirchen,Niedersachsen,31683,,+49 5724 95800,,,Yes,,52.2657349,9.1030571
34,20034,Agaplesion Neu-Bethlehem,Humboldtallee 8,Göttingen,Niedersachsen,37073,,,,,,,51.5403849,9.9427453
35,20035,Agaplesion evangelisches Krankenhaus Holzminden,Forster Weg 34,Holzminden,Niedersachsen,37603,,+49 5531 7050,,,Yes,,51.8350038,9.4554437
36,20036,Aggertalklinik Engelskirchen,,Engelskirchen,Oberbergischer Kreis,51766,,,,,,,50.9873842,7.3828234
37,20037,Albert-Schweitzer-Therapeutikum Holzminden,Pipping 5,Holzminden,Niedersachsen,37603,,,,,No,,51.8247852,9.4832008
38,20038,Albertinen-HausZentrum für Geriatrie und Gerontologie,,Hamburg,Hamburg,22457,,,,,,,53.6282975,9.9247635
39,20039,Albklinik Münsingen,,Münsingen,Reutlingen,72525,,,,,Yes,,48.404206,9.4903384
40,20040,Alexianer Krankenhaus,,Aachen,Aachen,52062,,,,,No,,50.7715719,6.0812264
41,20041,"Alexianer Krankenhaus, Tagesklinik",Mörgensstraße 17,Aachen,Aachen,52062,,,,,,,50.7711244,6.081369
42,20042,Alexianer Münster GmbH,Alexianerweg 9,Münster,Münster,48143,,,,,,,51.8774938,7.563717
43,20043,Alexianer St. Joseph Krankenhaus Berlin-Weißensee,,Berlin,Berlin,13088,,,,,Yes,,52.5515022,13.4681057
44,20044,Alexianer-Krankenhaus Köln,,Köln,Köln,51149,,,,,,,50.8975184,7.0387132
45,20045,Alfried-Krupp-Krankenhaus,,Essen,Essen,45130,,,,,,,51.4242048,7.0064736
46,20046,Alice-Hospital,,Darmstadt,Hessen,64283,,,,,,,49.8770681,8.6665289
47,20047,Aller-Weser-Klinik Verden,Eitzer Straße 20,Verden (Aller),Niedersachsen,27283,,,,,,,52.9131391,9.2309496
48,20048,Allgemeines Krankenhaus,Krankenhausstraße 2,Bad Segeberg,Segeberg,23795,,,,,,,53.9419702,10.3094344
49,20049,Allgemeines Krankenhaus Viersen,Hoserkirchweg 63,Viersen,Viersen,41747,,,,,,,51.249686,6.3816752
50,20050,Allgemeinspychatrische Tagesklinik,Allerstraße 1,Dortmund,Dortmund,44287,,,,,,,51.5046925,7.5479277
51,20051,Altbau Feuerwehrstraße,Humboldtstraße 5,Hannover,Niedersachsen,30169,,,,,,,52.3710635,9.7257221
