,USPS,ST,NAME,ZCTA5,LAT,LON
0,Hlavní Město Praha,52,Strašnice,100 00,50.0036,14.4619
1,Hlavní Město Praha,52,Praha 10-Malešice,100 00,50.0036,14.4619
2,Hlavní Město Praha,52,Vršovice,100 00,50.0036,14.4619
3,Hlavní Město Praha,52,Praha 10-Vršovice,100 00,50.0036,14.4619
4,Hlavní Město Praha,52,Vinohrady,100 00,50.0036,14.4619
5,Hlavní Město Praha,52,Malešice,100 00,50.0036,14.4619
6,Hlavní Město Praha,52,Praha 10-Strašnice,100 00,50.0036,14.4619
7,Hlavní Město Praha,52,Praha 10-Vinohrady,100 00,50.0036,14.4619
8,Hlavní Město Praha,52,Žižkov,100 00,50.0036,14.4619
9,Hlavní Město Praha,52,Praha 10-Žižkov,100 00,50.0036,14.4619
10,Hlavní Město Praha,52,Vinohrady,101 00,50.0036,14.4619
11,Hlavní Město Praha,52,Praha 10-Vinohrady,101 00,50.0036,14.4619
12,Hlavní Město Praha,52,Praha 10-Vršovice,101 00,50.0036,14.4619
13,Hlavní Město Praha,52,Michle,101 00,50.0036,14.4619
14,Hlavní Město Praha,52,Praha 10-Michle,101 00,50.0036,14.4619
15,Hlavní Město Praha,52,Praha 10-Záběhlice,101 00,50.0036,14.4619
16,Hlavní Město Praha,52,Vršovice,101 00,50.0036,14.4619
17,Hlavní Město Praha,52,Záběhlice,101 00,50.0036,14.4619
18,Hlavní Město Praha,52,Štěrboholy,102 00,50.0667,14.55
19,Hlavní Město Praha,52,Hostivař,102 00,50.0667,14.55
20,Hlavní Město Praha,52,Praha 10-Štěrboholy,102 00,50.0667,14.55
21,Hlavní Město Praha,52,Praha 10-Hostivař,102 00,50.0667,14.55
22,Hlavní Město Praha,52,Benice,103 00,50.0167,14.6
23,Hlavní Město Praha,52,Praha 10-Lipany,103 00,50.0125,14.625
24,Hlavní Město Praha,52,Kolovraty,103 00,50.0167,14.6333
25,Hlavní Město Praha,52,Nedvězí,103 00,50.0167,14.65
26,Hlavní Město Praha,52,Praha 10-Kolovraty,103 00,50.0125,14.625
27,Hlavní Město Praha,52,Lipany,103 00,50,14.6167
28,Hlavní Město Praha,52,Praha 10-Nedvězí,103 00,50.0125,14.625
29,Hlavní Město Praha,52,Praha 10-Benice,103 00,50.0125,14.625
30,Hlavní Město Praha,52,Pitkovice,104 00,50.0167,14.5833
