,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,Ambulance,Istočna gomilica 2,Tisno,Šibensko-kninska Županija,22240,,,,,Yes,,43.799743,15.6424358
1,20001,Ambulanta,,,Dubrovačko-neretvanska Županija,,,,,,,,42.9497015,17.1360949
2,20002,Ambulanta,,Privlaka,Vukovarsko-srijemska Županija,32252,,,,,,,45.1926141,18.836997
3,20003,Ambulanta,,Opuzen,Dubrovačko-neretvanska Županija,20355,,,,,,,43.0171978,17.5587097
4,20004,Ambulanta Bregana,,Samobor,Zagrebačka Županija,10430,,,,,,,45.8379284,15.688147
5,20005,Ambulanta Hlebine,Bana Josipa Jelačića 93B,Hlebine,Koprivničko-križevačka Županija,48316,,+385 048 836 020,,,No,,46.1558381,16.9625699
6,20006,Ambulanta Kukljica,,,Zadarska Županija,,,,,,,,44.0335293,15.2459486
7,20007,Ambulanta Omišalj Dina,,,Primorsko-goranska Županija,,,,,,No,,45.1951609,14.5588802
8,20008,Bolnica Dubovac,Vladka Mačeka 48,Karlovac,Karlovačka Županija,47000,,,,,,,45.4919012,15.5412476
9,20009,Bolnica Lipik,,Lipik,Požeško-slavonska Županija,34550,,,,,,,45.4142119,17.1613121
10,20010,Bolnica Sinj,Put Ruduše 26,Sinj,Splitsko-dalmatinska Županija,21230,,,,,Yes,,43.6997894,16.6323292
11,20011,Bolnica za ortopediju i rehabilitaciju Prim. dr. Martin Horvat,Ulica Luigija Montija nan,Rovinj,Istarska Županija,52210,,,,,Yes,,45.0981516,13.6356206
12,20012,Bolnica Švarča,,Karlovac,Karlovačka Županija,47000,,,,,,,45.4775616,15.5397013
13,20013,Borovje,Zdeslava Turića 1,Zagreb,Grad Zagreb,10135,,,,,No,,45.7884165,16.0091076
14,20014,Dječja bolnica Kantrida,Istarska ulica 43,Rijeka,Primorsko-goranska Županija,51000,,,,,Yes,,45.3423575,14.3661869
15,20015,Dječja bolnica Srebrnjak,,Zagreb,Grad Zagreb,10000,,,,,,,45.8252371,15.9929114
16,20016,Dom Zdravlja,Dr. Ante Starčevića 1,Dubrovnik,Dubrovačko-neretvanska Županija,20000,,,,,,,42.6476032,18.0936937
17,20017,Dom Zdravlja,,Donji Miholjac,Osječko-baranjska Županija,31540,,,,,,,45.7634202,18.1640176
18,20018,Dom Zdravlja Buje - Ambulatorio Medico Buie,,Buje,Istarska Županija,52460,,,,,No,,45.4077391,13.661074
